Name,Calls,Self CUDA total (us),Avg time (us),% Total,Input Shapes
"void ck::kernel_gemm_xdl_cshuffle_v3_multi_d<ck::GridwiseGemmMultiD_xdl_cshuffle_v3<ck::tensor_layout::gemm::RowMajor, ck::tensor_layout::gemm::ColumnMajor, ck::Tuple<ck::tensor_layout::gemm::RowMajor, ck::tensor_layout::gemm::ColumnMajor>, ck::tensor_layout::gemm::RowMajor, signed char, signed char, int, int, ck::Tuple<float, float>, std::bfloat16_t, ck::tensor_operation::element_wise::PassThrough, ck::tensor_operation::element_wise::PassThrough, RowwiseScale<int, float, std::bfloat16_t>, (ck::tensor_operation::device::GemmSpecialization)0, 256, 256, 128, 64, 16, 16, 32, 32, 4, 2, ck::Sequence<4, 64, 1>, ck::Sequence<1, 0, 2>, ck::Sequence<1, 0, 2>, 2, 16, 16, false, 0, ck::Sequence<4, 64, 1>, ck::Sequence<1, 0, 2>, ck::Sequence<1, 0, 2>, 2, 16, 16, false, 0, 1, 1, ck::Sequence<1, 32, 1, 8>, ck::Sequence<8, 8, 1>, (ck::BlockGemmPipelineScheduler)1, (ck::BlockGemmPipelineVersion)0, signed char, signed char, signed char, signed char, false, false, false>, true, (ck::InMemoryDataOperationEnum)0, 2, (ck::TailNumber)10>(ck::GridwiseGemmMultiD_xdl_cshuffle_v3<ck::tensor_layout::gemm::RowMajor, ck::tensor_layout::gemm::ColumnMajor, ck::Tuple<ck::tensor_layout::gemm::RowMajor, ck::tensor_layout::gemm::ColumnMajor>, ck::tensor_layout::gemm::RowMajor, signed char, signed char, int, int, ck::Tuple<float, float>, std::bfloat16_t, ck::tensor_operation::element_wise::PassThrough, ck::tensor_operation::element_wise::PassThrough, RowwiseScale<int, float, std::bfloat16_t>, (ck::tensor_operation::device::GemmSpecialization)0, 256, 256, 128, 64, 16, 16, 32, 32, 4, 2, ck::Sequence<4, 64, 1>, ck::Sequence<1, 0, 2>, ck::Sequence<1, 0, 2>, 2, 16, 16, false, 0, ck::Sequence<4, 64, 1>, ck::Sequence<1, 0, 2>, ck::Sequence<1, 0, 2>, 2, 16, 16, false, 0, 1, 1, ck::Sequence<1, 32, 1, 8>, ck::Sequence<8, 8, 1>, (ck::BlockGemmPipelineScheduler)1, (ck::BlockGemmPipelineVersion)0, signed char, signed char, signed char, signed char, false, false, false>::Argument) [clone .kd]",256,753529.74,2943.48,0.50,"[2048,5120]x[16384,5120]x[2048,1]x[16384,1]x[2048,16384]; [2048,6144]x[5120,6144]x[2048,1]x[5120,1]x[2048,5120]; [2048,5120]x[34816,5120]x[2048,1]x[34816,1]x[2048,34816]; [2048,17408]x[5120,17408]x[2048,1]x[5120,1]x[2048,5120]; [2048,5120]x[14336,5120]x[2048,1]x[14336,1]x[2048,14336]"
triton_red_fused__to_copy_add_dynamic_scaled_int8_quant_fused_add_rms_norm_2.kd,51168,514480.92,10.05,0.34,"[784,5120]x[784,5120]x[5120]x[784,5120]; [2048,5120]x[2048,5120]x[5120]x[2048,5120]; [1266,5120]x[1266,5120]x[5120]x[1266,5120]; [1812,5120]x[1812,5120]x[5120]x[1812,5120]; [1269,5120]x[1269,5120]x[5120]x[1269,5120]; [1815,5120]x[1815,5120]x[5120]x[1815,5120]; [1272,5120]x[1272,5120]x[5120]x[1272,5120]; [1818,5120]x[1818,5120]x[5120]x[1818,5120]; [1275,5120]x[1275,5120]x[5120]x[1275,5120]; [1821,5120]x[1821,5120]x[5120]x[1821,5120]"
triton_red_fused__to_copy_add_fused_add_rms_norm_4.kd,34112,510125.21,14.95,0.34,"[784,5120]x[784,5120]x[784,5120]x[5120]x[784,5120]x[784,5120]; [2048,5120]x[2048,5120]x[2048,5120]x[5120]x[2048,5120]x[2048,5120]; [1266,5120]x[1266,5120]x[1266,5120]x[5120]x[1266,5120]x[1266,5120]; [1812,5120]x[1812,5120]x[1812,5120]x[5120]x[1812,5120]x[1812,5120]; [1269,5120]x[1269,5120]x[1269,5120]x[5120]x[1269,5120]x[1269,5120]; [1815,5120]x[1815,5120]x[1815,5120]x[5120]x[1815,5120]x[1815,5120]; [1272,5120]x[1272,5120]x[1272,5120]x[5120]x[1272,5120]x[1272,5120]; [1818,5120]x[1818,5120]x[1818,5120]x[5120]x[1818,5120]x[1818,5120]; [1275,5120]x[1275,5120]x[1275,5120]x[5120]x[1275,5120]x[1275,5120]; [1821,5120]x[1821,5120]x[1821,5120]x[5120]x[1821,5120]x[1821,5120]"
triton_poi_fused__to_copy__unsafe_view_add_clone_dynamic_scaled_int8_quant_mean_mul_pow_rsqrt_silu_view_1.kd,51168,493626.26,9.65,0.33,"[784,48,128]x[37632,1]x[128]x[784,48,128]x[784,6144]; [2048,48,128]x[98304,1]x[128]x[2048,48,128]x[2048,6144]; [1266,48,128]x[60768,1]x[128]x[1266,48,128]x[1266,6144]; [1812,48,128]x[86976,1]x[128]x[1812,48,128]x[1812,6144]; [1269,48,128]x[60912,1]x[128]x[1269,48,128]x[1269,6144]; [1815,48,128]x[87120,1]x[128]x[1815,48,128]x[1815,6144]; [1272,48,128]x[61056,1]x[128]x[1272,48,128]x[1272,6144]; [1818,48,128]x[87264,1]x[128]x[1818,48,128]x[1818,6144]; [1275,48,128]x[61200,1]x[128]x[1275,48,128]x[1275,6144]; [1821,48,128]x[87408,1]x[128]x[1821,48,128]x[1821,6144]"
chunk_gated_delta_rule_fwd_kernel_h_blockdim64.kd,2064,479128.10,232.14,0.32,"[1,784,16,128]x[1,784,16,128]x[1,784,48,128]x[1,784,48]x[1,784,48]x[1,48,128,128]x[2]x[13,2]x[2]; [1,2048,16,128]x[1,2048,16,128]x[1,2048,48,128]x[1,2048,48]x[1,2048,48]x[4,48,128,128]x[5]x[34,2]x[5]; [1,1264,16,128]x[1,1264,16,128]x[1,1264,48,128]x[1,1264,48]x[1,1264,48]x[3,48,128,128]x[4]x[21,2]x[4]; [1,1808,16,128]x[1,1808,16,128]x[1,1808,48,128]x[1,1808,48]x[1,1808,48]x[3,48,128,128]x[4]x[30,2]x[4]; [1,480,16,128]x[1,480,16,128]x[1,480,48,128]x[1,480,48]x[1,480,48]x[2,48,128,128]x[3]x[8,2]x[3]"
"void ck::kernel_gemm_xdl_cshuffle_v3_multi_d<ck::GridwiseGemmMultiD_xdl_cshuffle_v3<ck::tensor_layout::gemm::RowMajor, ck::tensor_layout::gemm::ColumnMajor, ck::Tuple<ck::tensor_layout::gemm::RowMajor, ck::tensor_layout::gemm::ColumnMajor>, ck::tensor_layout::gemm::RowMajor, signed char, signed char, int, int, ck::Tuple<float, float>, std::bfloat16_t, ck::tensor_operation::element_wise::PassThrough, ck::tensor_operation::element_wise::PassThrough, RowwiseScale<int, float, std::bfloat16_t>, (ck::tensor_operation::device::GemmSpecialization)0, 64, 16, 16, 256, 16, 16, 16, 16, 1, 1, ck::Sequence<16, 4, 1>, ck::Sequence<1, 0, 2>, ck::Sequence<1, 0, 2>, 2, 16, 16, false, 0, ck::Sequence<16, 4, 1>, ck::Sequence<1, 0, 2>, ck::Sequence<1, 0, 2>, 2, 16, 16, false, 0, 1, 1, ck::Sequence<1, 16, 1, 4>, ck::Sequence<4, 4, 1>, (ck::BlockGemmPipelineScheduler)0, (ck::BlockGemmPipelineVersion)0, signed char, signed char, signed char, signed char, false, false, false>, true, (ck::InMemoryDataOperationEnum)0, 1, (ck::TailNumber)10>(ck::GridwiseGemmMultiD_xdl_cshuffle_v3<ck::tensor_layout::gemm::RowMajor, ck::tensor_layout::gemm::ColumnMajor, ck::Tuple<ck::tensor_layout::gemm::RowMajor, ck::tensor_layout::gemm::ColumnMajor>, ck::tensor_layout::gemm::RowMajor, signed char, signed char, int, int, ck::Tuple<float, float>, std::bfloat16_t, ck::tensor_operation::element_wise::PassThrough, ck::tensor_operation::element_wise::PassThrough, RowwiseScale<int, float, std::bfloat16_t>, (ck::tensor_operation::device::GemmSpecialization)0, 64, 16, 16, 256, 16, 16, 16, 16, 1, 1, ck::Sequence<16, 4, 1>, ck::Sequence<1, 0, 2>, ck::Sequence<1, 0, 2>, 2, 16, 16, false, 0, ck::Sequence<16, 4, 1>, ck::Sequence<1, 0, 2>, ck::Sequence<1, 0, 2>, 2, 16, 16, false, 0, 1, 1, ck::Sequence<1, 16, 1, 4>, ck::Sequence<4, 4, 1>, (ck::BlockGemmPipelineScheduler)0, (ck::BlockGemmPipelineVersion)0, signed char, signed char, signed char, signed char, false, false, false>::Argument) [clone .kd]",4100,476423.17,116.20,0.32,"[16,5120]x[248320,5120]x[16,1]x[248320,1]x[16,248320]; [32,5120]x[248320,5120]x[32,1]x[248320,1]x[32,248320]; [48,5120]x[248320,5120]x[48,1]x[248320,1]x[48,248320]"
chunk_fwd_kernel_o.kd,2064,410024.02,198.66,0.27,"[1,784,16,128]x[1,784,16,128]x[1,784,48,128]x[1,784,48]x[1,784,48]x[1,48,128,128]x[2]x[13,2]x[2]; [1,2048,16,128]x[1,2048,16,128]x[1,2048,48,128]x[1,2048,48]x[1,2048,48]x[4,48,128,128]x[5]x[34,2]x[5]; [1,1264,16,128]x[1,1264,16,128]x[1,1264,48,128]x[1,1264,48]x[1,1264,48]x[3,48,128,128]x[4]x[21,2]x[4]; [1,1808,16,128]x[1,1808,16,128]x[1,1808,48,128]x[1,1808,48]x[1,1808,48]x[3,48,128,128]x[4]x[30,2]x[4]; [1,480,16,128]x[1,480,16,128]x[1,480,48,128]x[1,480,48]x[1,480,48]x[2,48,128,128]x[3]x[8,2]x[3]"
Cijk_SB_BiasS_HAS_ScaleAlphaVec_PostGSU8_VW4.kd,48624,404781.03,8.32,0.27,
recompute_w_u_fwd_kernel.kd,2064,354480.58,171.74,0.23,"[1,784,16,128]x[1,784,16,128]x[1,784,48,128]x[1,784,48]x[1,784,48]x[1,48,128,128]x[2]x[13,2]x[2]; [1,2048,16,128]x[1,2048,16,128]x[1,2048,48,128]x[1,2048,48]x[1,2048,48]x[4,48,128,128]x[5]x[34,2]x[5]; [1,1264,16,128]x[1,1264,16,128]x[1,1264,48,128]x[1,1264,48]x[1,1264,48]x[3,48,128,128]x[4]x[21,2]x[4]; [1,1808,16,128]x[1,1808,16,128]x[1,1808,48,128]x[1,1808,48]x[1,1808,48]x[3,48,128,128]x[4]x[30,2]x[4]; [1,480,16,128]x[1,480,16,128]x[1,480,48,128]x[1,480,48]x[1,480,48]x[2,48,128,128]x[3]x[8,2]x[3]"
_causal_conv1d_fwd_kernel.kd,2064,342459.16,165.92,0.23,"[784,10240]x[784,48]x[784,48]x[784,48,128]; [2048,10240]x[2048,48]x[2048,48]x[2048,48,128]; [1266,10240]x[1266,48]x[1266,48]x[1266,48,128]; [1812,10240]x[1812,48]x[1812,48]x[1812,48,128]; [1269,10240]x[1269,48]x[1269,48]x[1269,48,128]; [1815,10240]x[1815,48]x[1815,48]x[1815,48,128]; [1272,10240]x[1272,48]x[1272,48]x[1272,48,128]; [1818,10240]x[1818,48]x[1818,48]x[1818,48,128]; [1275,10240]x[1275,48]x[1275,48]x[1275,48,128]; [1821,10240]x[1821,48]x[1821,48]x[1821,48,128]"
