Name,Calls,Self CUDA total (us),Avg time (us),% Total,Input Shapes
Cijk_SB_BiasS_HAS_ScaleAlphaVec_PostGSU8_VW4.kd,26784,222795.84,8.32,0.35,
triton_red_fused__to_copy_add_fused_add_rms_norm_4.kd,18176,201781.66,11.10,0.31,
triton_poi_fused__to_copy__unsafe_view_add_clone_dynamic_scaled_int8_quant_mean_mul_pow_rsqrt_silu_view_1.kd,27264,192811.46,7.07,0.30,
batch_memcpy_kernel.kd,42,170450.36,4058.34,0.27,
triton_per_fused__to_copy_mean_pow_view_0.kd,27264,161124.50,5.91,0.25,
triton_poi_fused_dynamic_scaled_int8_quant_mul_silu_slice_2.kd,9088,130509.25,14.36,0.20,
reshape_and_cache_kernel_flash.kd,9088,128604.92,14.15,0.20,
triton_poi_fused_arange_bitwise_and_eq_index_lt_remainder_select_split_where_7.kd,9088,127624.82,14.04,0.20,
triton_poi_fused_5.kd,27264,124065.76,4.55,0.19,
triton_poi_fused__to_copy_add_cat_mul_rms_norm_slice_split_split_with_sizes_sub_unsqueeze_view_8.kd,9088,113719.79,12.51,0.18,
